,Tweet
0,RT @WHOUkraine: .@WHO is providing generators to hospitals across #Ukraine with limited or no power supply to ensure the continuity of pati…
1,"RT @DrTedros: Namaste 🙏 Prime Minister @narendramodi, the pleasure was mine. Thank you, the government, and the people of #India for your s…"
2,RT @DrTedros: Pleased to meet #Mauritius Prime Minister @KumarJugnauth and discuss how 🇲🇺 can start introducing traditional medicine into i…
3,RT @DrTedros: Devastated by the reports of attacks on schools in #Afghanistan yesterday. My heartfelt condolences go out to parents and fam…
4,"RT @DrTedros: By working together to make the most of traditional knowledge from our communities, we can help to make the 🌍 a healthier, mo…"
5,"LIVE from #India 🇮🇳: @DrTedros’ address at the #GlobalAyushSummit ⬇️

https://t.co/Dy5anbTSbi"
6,"RT @DrTedros: Visited @AIIA_NDelhi, a role model health center for integration of traditional and modern medicine, where health practitione…"
7,LIVE: Groundbreaking ceremony for the WHO Global Traditional Medicine Centre with @DrTedros and Prime Minister @narendramodi https://t.co/sJhLWhYUMo
8,"RT @DrTedros: Beautiful start to the day in #India, with #WorldHealthDay symbols. Together, for our planet, our health. Together, for a #He…"
9,"RT @DrTedros: This is an urgent 🌍 challenge. 23 million children missed out on basic vaccines in 2020. Ahead of #WorldImmunizationWeek, @WH…"
10,".@DrTedros is traveling to #India for the groundbreaking ceremony of the WHO Global Centre for Traditional Medicine, alongside Prime Minister @narendramodi. 
He will also travel to #Nepal to meet with state &amp; government leaders &amp; visit health facilities. Here is a trip preview ⬇️ https://t.co/Zc6ziwQZ3o"
11,"RT @WHOEMRO: 99% of the world now lives in polio-free countries. The finish line for #polio eradication is in sight
 
Join the Global Polio…"
12,RT @WHOAFRO: Vaccines are safe and effective. ✅ https://t.co/FyOe4HGjq6
13,"RT @WHOWPRO: Tobacco kills more than 8M people every year.
It is highly addictive &amp; a major risk factor for cancer, heart and lung diseases…"
14,"RT @PAHOCaribbean: Stay connected with your family and friends by phone ☎️ or virtual calls during the upcoming religious festivities. 

#C…"
15,"RT @WHOWPRO: Easter can be a time that brings family and friends together. 

With #COVID19 around, we still need to be careful even if we’r…"
16,RT @DrTedros: #HappyEaster to everyone celebrating today. My heartfelt wish is for you and your families to stay healthy!
17,"RT @UN: #VaccinesWork

They help prevent millions of deaths every year and are continuously monitored to ensure they are safe &amp; effective.…"
18,"RT @WHO_Europe: Easter can be a time that brings family and friends together. With #COVID19 around, it's still important to take steps to k…"
19,"RT @DrTedros: Wishing #RamadanKareem to everyone celebrating. May your homes be filled with peace and good health. 
Here is some good advic…"
20,RT @WHOSEARO: Stay safe from COVID-19 even when you observe #Ramadan. https://t.co/XgwuAledxE
21,"RT @WHOAFRO: This #Easter weekend &amp; beyond, be sure to avoid foods that contain high amounts of #sugar ✅ 

Consuming too much sugar can inc…"
22,"RT @WHOUkraine: Patient safety &amp; infection prevention &amp; control are essential, especially as the pandemic is ongoing

With @CanEmbUkraine s…"
23,"RT @WHOOmanOffice: During Ramadan keep yourself and others safe from #COVID19 by practicing simple measures: 
😷Wear a mask at the mosque
↔️…"
0,CDC continues to recommend that people wear masks in all indoor public transportation settings. See full CDC statement:  https://t.co/xY9YcSlSxr
1,"RT @CDC_DASH: Young people need all the support we can give them, and schools serve as a critical venue to provide this support. #CDCABES h…"
2,"RT @CDC_DASH: New CDC data shows the pandemic affected the #MentalHealth of high school students: 
▪️2 in 5 students felt emotional distres…"
3,RT @CDC_DASH: School connectedness is one particularly powerful tool for mitigating the challenges adolescents have faced throughout the pa…
4,"As of April 18, 2022, national forecasts predict 200–4,000 new #COVID19 hospitalizations will likely be reported on May 13. More: https://t.co/Xys80ZGlxV. https://t.co/QyL0jWsuxD"
5,"During Medical Laboratory Professionals Week, recognize &amp; celebrate the lab professionals in your life. 🔬 

📣 Tag someone you want to thank for the contributions they make to the health of patients and communities: https://t.co/AY17MoX0ZV.
#MLPW22 #LabWeek2022 https://t.co/SqEYy43scY"
6,"#HCPs: The ACIP has new recommendations on Hepatitis B, Pneumococcal &amp; Zoster vaccines. This Current Issues in Immunizations recording now available at https://t.co/lmghb6s6pC. https://t.co/QEJ6NgnYDN"
7,"Why should you stay up to date with your #COVID19 vaccines?

Staying up to date with your COVID-19 vaccines lowers your risk of getting seriously ill, being hospitalized, or dying from COVID-19.

Find your vaccine or booster: https://t.co/xbvNibdkCt."
8,#HCPs: Some of your littlest patients might have missed their routine vaccinations. Talk to their parents about getting them caught up. https://t.co/kAaLqImzUt #VaccinesWork https://t.co/4aHtrS6GYM
9,"Improvements to park, trail, and greenway infrastructure, combined with additional interventions such as structured programs or transportation connections, increase physical activity. Read the new @CPSTF recommendation: https://t.co/Da5B40Fg8W.
#CommunityGuide #ActivePeople https://t.co/Wi1BrFEa3g"
10,"#DYK? Your body’s ability to fight off #COVID19 can decrease over time after vaccination. When this happens, a booster can help your body build back the immunity that has been lost.
More: https://t.co/77CTFuJFcO. https://t.co/C5vdNf13CW"
11,"Health communicators &amp; data practitioners: Learn how to present data in a way that shows respect for the population being studied. Read “Do No Harm,” a guide from @urbaninstitute: https://t.co/xybIfPvY4z.

#HealthLiteracy #HealthEquity https://t.co/8cOCbA7qc6"
12,"RT @CDCDirector: CFA aims to enable timely, effective decision-making to improve outbreak response using data, modeling, and analytics.

Th…"
13,"RT @CDCDirector: Today, we officially launch @CDCgov's Center for Forecasting and Outbreak Analytics!

Imagine having the models and foreca…"
14,"#COVID19 can make some children very sick. A new MMWR report shows among children ages 5–11 years hospitalized with COVID-19 during the first few months of Omicron, 3 in 10 had no underlying conditions and 2 in 10 were admitted to the ICU. Learn more: https://t.co/IUFvr9HBt8. https://t.co/2W19KlpQSj"
15,"Tele misused prescription #opioids from age 13. He shares the effect they had on his life and his #recovery from #OpioidUseDisorder. 
 
Don’t give up. There is hope, and recovery is possible. Learn more: https://t.co/LgsvhdphjK.
#RxAwareness https://t.co/xgI2vd5lcG"
16,"#DYK that raw milk can have dangerous germs that can make you and your family sick? To keep everyone safe, drink pasteurized milk, which has been heated to kill harmful germs. Learn more about the dangers of raw milk: https://t.co/JQlk0F5ufH. https://t.co/d2HdlJ5SJi"
17,"As of April 18, 256.8 million people have received at least one dose of a #COVID19 vaccine. Of those, 218.9 million are fully vaccinated. More than 99.5 million people have received a COVID-19 booster dose.  

Find a COVID-19 vaccine or booster near you: https://t.co/xbvNiaVJKV. https://t.co/h7x59DfUtv"
18,"Tribal community members, leaders, and partners: Share new videos of Wes Studi, Cherokee elder, Oscar award recipient, and health advocate, encouraging American Indian and Alaska Natives to get vaccinated to help protect their communities from #COVID19. https://t.co/2Xjim3GaiS https://t.co/BGyAaIK3lO"
19,Flying through @ATLairport between now &amp; April 24? Check out CDC’s digital photo exhibit “Faces from the Frontlines” in Concourse F. Snap a photo with the exhibit and share your selfies with us using #GoingGlobalWithCDC! https://t.co/lNG1V7BbSY https://t.co/XjgxeXzDlx
20,"Over 9 million children ages 5–11 years have received at least one dose of #COVID19 vaccine.

Your participation in v-safe helps CDC monitor the safety of COVID-19 vaccines for everyone. 

Learn more: https://t.co/S4ZmF2foa9. https://t.co/VVJLMHzwXB"
