,Tweet
0,"10th @ACTAccelerator Facilitation Council meeting has just started. 

📺 Live here 👇 https://t.co/LAnJuSzrhe

#ACTogether"
1,"WHO is scaling up its response to the health crisis in the Sahel, where more than 33 million people across 🇧🇫, 🇨🇲, 🇹🇩, 🇲🇱, 🇳🇪, 🇳🇬 need life-saving aid https://t.co/p52BikBd65 https://t.co/xupLsEcNCH"
2,"Did you know? 
Of nearly 5.7 billion #COVID19 tests performed globally, only 20% were done in low &amp; lower middle-income countries despite them comprising half the world’s population.

📣 We must change this now. 
#UrgencyofEquity #ACTogether 
@ACTAccelerator https://t.co/Yxtchj62Mu"
3,LIVE Q&amp;A with Dr @Kate_L_OBrien on #WorldImmunizationWeek. #AskWHO #LongLifeForAll https://t.co/tJNv6o06Kg
4,"Vaccines accompany us through our life-course &amp; protect against:
Cervical cancer
Cholera
COVID-19
Diphtheria
Ebola
Hep B
HPV
Influenza
Japanese encephalitis
Malaria
Measles
Meningitis
Mumps
Pertussis
Pneumonia
Polio
Rabies
Rotavirus
Rubella
Tetanus
Typhoid
Varicella
Yellow Fever"
5,"On #WorldMalariaDay, WHO is calling for expanded use of the RTS,S vaccine - 🌍 first malaria vaccine. This vaccine can save tens of thousands of lives each year. Learn more▶️ https://t.co/vjmOeuS1Cd https://t.co/IDX7YhMdnZ"
6,"Today is #WorldMalariaDay.

#DYK: we can prevent and cure #Malaria?
Learn about the symptoms so you know when to get help from a healthcare professional https://t.co/Lzv4wUjilk https://t.co/Osv1BDFB1w"
7,"ICYMI: play the recording of our  #WorldImmunizationWeek @TwitterSpaces chat on how vaccines offer the chance of a #LongLifeForAll with Dr @Kate_L_OBrien ⬇️ 

https://t.co/aFyztiFkBg"
8,"We are live! Join #AskWHO @TwitterSpaces chat and learn how vaccines work to enable #LongLifeForAll!

https://t.co/aFyztiFkBg"
9,"💜 Set a reminder for #AskWHO on @TwitterSpaces:

1️⃣ #WorldImmunizationWeek session: How vaccines work to enable #LongLifeForAll and how to address vaccine hesitancy 
🎙 @Kate_L_OBrien 
🕛 12:00 PM CEST

https://t.co/aFyztiFkBg"
10,"Two years into the pandemic, we ask “what will it take to end its acute phase?” Today, we stress the urgency of equitable access to life-saving #COVID19 tools. 💊 💉 😷🧪
 #UrgencyofEquity #ACTogether https://t.co/jkBwBAe2lw"
11,"As of April 25, more than 100.1 million people have received their first #COVID19 booster. Almost 257.3 million people have received at least one dose of a COVID-19 vaccine. Of those, 219.4 million are fully vaccinated.

Find a COVID-19 vaccine or booster: https://t.co/xbvNiaVJKV https://t.co/4dJIroOMNa"
12,"Want to hear the latest from CDC #DiseaseDetectives? Join this year’s virtual EIS conference and hear Alexander D. Langmuir Lecturer, Dr. Mary Bassett, present ""Undoing the Racial Patterning of Health""! Register now: https://t.co/u9B9md7AKX. #CDCEIS22 https://t.co/cHYc5a2LI5"
13,"Laboratory professionals give the gift of health every day. This #LabWeek2022, we celebrate the diversity that drives innovation and improves care for all. Learn more: https://t.co/AY17MoX0ZV. #MLPW22 #GiftingHealth #TheGiftOfHealth https://t.co/kNe6AQf3L1"
14,"TOMORROW: A special installment of “We Were There”, honoring the life of Dr. Sherif Zaki. 

Dr. Zaki was a visionary leader of infectious disease pathology with a more than 30 year career at CDC.

Please join the presentation at 1:30PM ET tomorrow: https://t.co/VX60vZaP8v. https://t.co/WcsSl7iCNz"
15,"Over 9 million children ages 5–11 years have received at least one dose of #COVID19 vaccine.

Your participation in v-safe helps CDC monitor the safety of COVID-19 vaccines for everyone.
 
Learn more: https://t.co/S4ZmF2foa9. https://t.co/fFWJC29XuL"
16,#HCPs: Improving childhood vaccination rates is a collective effort. Learn how HCPs can work together to improve rates: https://t.co/y8gykrKeYx. https://t.co/a4hcKmR5yn
17,"Early #autism diagnosis is key to getting timely support. Progress has been made in identifying children with autism spectrum disorder at an early age. Learn the signs. Act early. https://t.co/LLoxRb38CR

#AutismAwarenessMonth #AutismAcceptanceMonth https://t.co/d3EqSjeSmT"
18,"Throughout the pandemic, the U.S. has experienced waves of #COVID19 caused by different variants. CDC closely tracks variant trends and their impact on public health. Learn more in this week’s COVID Data Tracker Weekly Review: https://t.co/F4bAyObDp1. https://t.co/bnWZ8M6lFC"
19,"As of April 21, 2022, more than 98% of the U.S. population lives in a location with a low or medium #COVID19 Community Level. 

Find your COVID-19 Community Level: https://t.co/w3365V9Zr4. https://t.co/Fmhz5RnxtP"
20,"CDC estimates that at least 2,800 people have died from flu so far this season. Help stop the spread of flu by getting your #FluVax, taking everyday preventive actions, and taking antiviral drugs if your doctor prescribes them: https://t.co/kfI18PWwiI. https://t.co/negXGsA4FX"
21,"The latest CDC #FluView report shows flu activity remains elevated, but varies across the U.S., with #flu activity highest in the northeast, south-central, and mountain regions of the country. Learn more: https://t.co/s9XLYIzBXD. https://t.co/NLaEfy6AEr"
