statement,date
The Australian Technical Advisory Group on Immunisation advised that the COVID-19 vaccine may be given to patients under sedation for unrelated procedures without consent as a way to force compliance.,"April 19, 2022"
Suggests ivermectin is an effective treatment for COVID-19,"April 13, 2022"
Gilbert Gottfried died from the COVID-19 vaccine.,"April 13, 2022"
2004 video shows Anthony Fauci is ignoring science on natural immunity with regard to COVID-19.,"April 8, 2022"
Pfizer paid “$2.8 million bribe payment” to the FDA for COVID-19 vaccine approval.,"April 5, 2022"
Foo Fighters drummer Taylor Hawkins died from a COVID-19 vaccine.,"March 29, 2022"
"""Documents were published confirming Moderna created the COVID-19 Virus.”","March 24, 2022"
A man was arrested “for wearing a T-shirt that says ‘We The People’ and has a picture of the ‘Statue of Liberty.’”,"March 24, 2022"
Joe Biden’s announcement that the Justice Department will name a chief prosecutor for pandemic fraud means “the government is going to investigate itself.”,"March 23, 2022"
"The drug labels for the Pfizer COVID-19 vaccine “were blank when they should have contained all these diseases and adverse events"" listed in a confidential report.","March 23, 2022"
"""People who have had cancer in the past, they get the COVID jab and now, they're getting cancer two to three, four months later and it's the same cancer they had except much worse.""","March 11, 2022"
Dr. Anthony Fauci has not spoken or appeared publicly for several weeks.,"March 7, 2022"
CDC Director Dr. Rochelle Walensky said she gets COVID-19 reports from CNN.,"March 7, 2022"
Wearing masks is “COVID theater” and “not doing anything.”,"March 4, 2022"
"“Over-vaccination causes faster mutation of the (COVID-19) virus, which causes a super virus we may not have the ability to fight off.”","March 1, 2022"
“News report accidentally reveals doctors giving ‘banned’ COVID treatment to the Queen.”,"February 24, 2022"
The Centers for Disease Control and Prevention has amassed the “largest collection of human data in history” through COVID-19 PCR tests.,"February 23, 2022"
Video shows that Sûreté du Québec officers “removed their identifying names and badge numbers from their uniforms in Ottawa.”,"February 21, 2022"
“Airline CEO gets pied for forcing vaccinations”,"February 17, 2022"
"List shows “1,000 peer reviewed studies questioning COVID-19 vaccine safety”","February 17, 2022"
"“Johns Hopkins University confirms: You can be vaccinated with a PCR test, even without knowing”","February 16, 2022"
"""According to Congress, travel nurses need a pay cap.”","February 16, 2022"
"""Study proves children’s hearts destroyed by COVID vaccine.""","February 15, 2022"
"The New York City Police Department arrested a 9-year-old ""because she didn’t have a vaccine card in the museum.""","February 15, 2022"
The CDC was “normalizing blood clots” by tweeting about the health condition before the Super Bowl.,"February 15, 2022"
COVID-19 vaccines caused a 40% increase in deaths identified by a life insurance company.,"February 11, 2022"
"COVID spelled backward is “divoc” which means ""possession of the evil spirit"" in Hebrew.","February 11, 2022"
“We all know China created COVID.”,"February 11, 2022"
Says a Washington Post headline and graphic about COVID-19 deaths are misleading.,"February 11, 2022"
"In England, “official data shows children are up to 52 times more likely to die following COVID-19 vaccination than unvaccinated children.”","February 11, 2022"
Says remdesivir is responsible for killing patients hospitalized with COVID-19.,"February 10, 2022"
"Says C.S. Lewis wrote, “They believed blindly everything they heard or read in the papers. They gave up their freedoms.”","February 10, 2022"
Comedian Heather McDonald collapsed on stage as a result of the COVID-19 vaccine.,"February 9, 2022"
“Fifty percent of the Ottawa police force have all turned in their resignation.”,"February 8, 2022"
The federal government requires “COVID passports to visit the movies.”,"February 8, 2022"
Joe Biden gave his used face mask to Stephen Breyer.,"February 8, 2022"
"Turkey, Brazil, Britain, Sweden, Spain, Czech Republic, Mexico, El Salvador, Japan and Singapore canceled all COVID-19 quarantine procedures, testing and compulsory vaccination and are considering COVID-19 “just a seasonal flu.”","February 7, 2022"
"“Few, If Any, Doses of Spikevax or Comirnaty Available in United States, Despite FDA Approvals”","February 4, 2022"
