,Tweet
0,"10th @ACTAccelerator Facilitation Council meeting has just started. 

📺 Live here 👇 https://t.co/LAnJuSzrhe

#ACTogether"
1,"WHO is scaling up its response to the health crisis in the Sahel, where more than 33 million people across 🇧🇫, 🇨🇲, 🇹🇩, 🇲🇱, 🇳🇪, 🇳🇬 need life-saving aid https://t.co/p52BikBd65 https://t.co/xupLsEcNCH"
2,"Did you know? 
Of nearly 5.7 billion #COVID19 tests performed globally, only 20% were done in low &amp; lower middle-income countries despite them comprising half the world’s population.

📣 We must change this now. 
#UrgencyofEquity #ACTogether 
@ACTAccelerator https://t.co/Yxtchj62Mu"
3,LIVE Q&amp;A with Dr @Kate_L_OBrien on #WorldImmunizationWeek. #AskWHO #LongLifeForAll https://t.co/tJNv6o06Kg
4,"Vaccines accompany us through our life-course &amp; protect against:
Cervical cancer
Cholera
COVID-19
Diphtheria
Ebola
Hep B
HPV
Influenza
Japanese encephalitis
Malaria
Measles
Meningitis
Mumps
Pertussis
Pneumonia
Polio
Rabies
Rotavirus
Rubella
Tetanus
Typhoid
Varicella
Yellow Fever"
5,"On #WorldMalariaDay, WHO is calling for expanded use of the RTS,S vaccine - 🌍 first malaria vaccine. This vaccine can save tens of thousands of lives each year. Learn more▶️ https://t.co/vjmOeuS1Cd https://t.co/IDX7YhMdnZ"
6,"Today is #WorldMalariaDay.

#DYK: we can prevent and cure #Malaria?
Learn about the symptoms so you know when to get help from a healthcare professional https://t.co/Lzv4wUjilk https://t.co/Osv1BDFB1w"
7,"ICYMI: play the recording of our  #WorldImmunizationWeek @TwitterSpaces chat on how vaccines offer the chance of a #LongLifeForAll with Dr @Kate_L_OBrien ⬇️ 

https://t.co/aFyztiFkBg"
8,"We are live! Join #AskWHO @TwitterSpaces chat and learn how vaccines work to enable #LongLifeForAll!

https://t.co/aFyztiFkBg"
9,"💜 Set a reminder for #AskWHO on @TwitterSpaces:

1️⃣ #WorldImmunizationWeek session: How vaccines work to enable #LongLifeForAll and how to address vaccine hesitancy 
🎙 @Kate_L_OBrien 
🕛 12:00 PM CEST

https://t.co/aFyztiFkBg"
10,"Two years into the pandemic, we ask “what will it take to end its acute phase?” Today, we stress the urgency of equitable access to life-saving #COVID19 tools. 💊 💉 😷🧪
 #UrgencyofEquity #ACTogether https://t.co/jkBwBAe2lw"
11,"It’s #WorldImmunizationWeek!

If you could see viruses you would know that they are all around. Vaccines provide opportunity and hope for all of us to enjoy ​a more fulfilling life. ​That's something we should all be fighting for.​ Vaccines, in the pursuit of a #LongLifeForAll. https://t.co/DvWZVHOCaK"
12,"#WorldImmunizationWeek starts today. Play this quiz and test your knowledge about vaccines 👇

Q1: For which virus was the first vaccine successfully created?

#LongLifeForAll"
13,"Yesterday, @DrTedros met with #Nepal’s President Bidhya Devi Bhandari and Prime Minister @SherBDeuba to discuss 🇳🇵's response to #COVID19 &amp; #VaccinEquity; routine immunization efforts; &amp; how WHO can support training for health workforce. #HealthForAll https://t.co/9Ce4YFY0QW"
14,"Children in #Ukraine 🇺🇦 are experiencing acute stress &amp; a whirlwind of emotions. This is taking a toll on their #MentalHealth. A comic strip - available in Ukrainian &amp; English - can help children process those big feelings at an incredibly difficult time.

@UNICEF I @GlobalCP_AoR"
15,"For centuries, humans have looked for ways to protect each other against deadly diseases. Take a journey through centuries of life-saving science and learn how #VaccinesWork to provide a chance at a #LongLifeForAll 👇"
16,"Today is #EarthDay 🌎🌍🌏

Burning fossil fuels like oil, coal and natural gas causes air pollution.

#InvestInOurPlanet: Keep fossil fuels in the ground for #HealthierTomorrow - a healthy planet &amp; a healthy me. https://t.co/o7Cwm2yfVO"
17,"📣 WHO updates its recommendations for the use of therapeutics in the treatment of #COVID19. 🧵

https://t.co/ItNygISp5V"
18,"Endometriosis affects 1 in 10 women &amp; girls of reproductive age.
Learn how to recognize it in the new #Endometriosis section on WHO’s women’s health chatbot on Viber.
Let’s make sure everyone with endometriosis gets the diagnosis &amp; care they need https://t.co/I2M5paMBTE https://t.co/VdKwzf5Szb"
19,"As of April 25, more than 100.1 million people have received their first #COVID19 booster. Almost 257.3 million people have received at least one dose of a COVID-19 vaccine. Of those, 219.4 million are fully vaccinated.

Find a COVID-19 vaccine or booster: https://t.co/xbvNiaVJKV https://t.co/4dJIroOMNa"
20,"Want to hear the latest from CDC #DiseaseDetectives? Join this year’s virtual EIS conference and hear Alexander D. Langmuir Lecturer, Dr. Mary Bassett, present ""Undoing the Racial Patterning of Health""! Register now: https://t.co/u9B9md7AKX. #CDCEIS22 https://t.co/cHYc5a2LI5"
21,"Laboratory professionals give the gift of health every day. This #LabWeek2022, we celebrate the diversity that drives innovation and improves care for all. Learn more: https://t.co/AY17MoX0ZV. #MLPW22 #GiftingHealth #TheGiftOfHealth https://t.co/kNe6AQf3L1"
